X,Y,RCLC1,RCLC2,RCLC3,RCLC4
61.27,77.02,96.77,96.91,97.03,97.05
60.89,77.86,98.21,98.33,98.43,98.45
60.64,87.14,99.79,99.88,99.95,99.91
63.93,88.93,100.36,100.46,100.55,100.56
62.32,86.79,100.2,100.33,100.45,100.49
61.71,80.89,100.96,101.09,101.22,101.25
60.84,79.11,100.99,101.13,101.27,101.34
60,75.16,101.28,101.45,101.62,101.72
59.64,76.2,100.49,100.68,100.86,101.03
59.75,79.61,98.34,98.54,98.74,98.93
59.61,81.96,99.41,99.6,99.75,99.89
59.68,83.39,97.77,97.99,98.18,98.37
59.71,84.02,100.14,100.32,100.48,100.65
